officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,RelatedSuboffice,RelatedHeadoffice
Gollaladoddi B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Gollapalli B.O,515865,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gummagatta,Ananthapur,ANDHRA PRADESH,NA,Rayadurg S.O,Guntakal H.O
Gollapalli B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Narpala,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Gonabhavi B.O,515863,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gummagatta,Ananthapur,ANDHRA PRADESH,NA,Gummaghatta S.O,Guntakal H.O
Gonchireddypalli B.O,515763,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Brahmasamudram,Ananthapur,ANDHRA PRADESH,NA,Bommaganipalli S.O,Anantapur H.O
Gondireddypalli B.O,515722,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Rapthadu,Ananthapur,ANDHRA PRADESH,NA,Jayalakshmipuram S.O (Ananthapur),Anantapur H.O
Gonehal B.O,515871,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bommanahal,Ananthapur,ANDHRA PRADESH,NA,Kanekal S.O,Guntakal H.O
Gooty Bazaar S.O,515401,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,08552-251896,NA,Guntakal H.O
Gooty R.S. S.O,515402,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,08552-252221,NA,Guntakal H.O
Gooty S.O,515401,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,08552-252496,NA,Guntakal H.O
Gootyanantapur B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Goridindla B.O,515751,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Atmakur,Ananthapur,ANDHRA PRADESH,NA,Atmakur(ATP) S.O,Anantapur H.O
Gotkuru B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Govindawada B.O,515812,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bommanahal,Ananthapur,ANDHRA PRADESH,NA,Uravakonda S.O,Guntakal H.O
Gramadatla B.O,515865,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Rayadurg,Ananthapur,ANDHRA PRADESH,NA,Rayadurg S.O,Guntakal H.O
Gubanapalli B.O,515763,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalyandurg,Ananthapur,ANDHRA PRADESH,NA,Bommaganipalli S.O,Anantapur H.O
Guddalapalli B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinne,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Gudipadu B.O,515408,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yadiki,Ananthapur,ANDHRA PRADESH,NA,Yadiki S.O,Guntakal H.O
Gugudu B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Narpala,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Gulapalyam B.O,515842,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vajrakarur,Ananthapur,ANDHRA PRADESH,NA,Konakondla S.O,Guntakal H.O
Gummaghatta S.O,515863,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gummagatta,Ananthapur,ANDHRA PRADESH,08495-236856,NA,Guntakal H.O
Gundiganipalli B.O,515863,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Brahmasamudram,Ananthapur,ANDHRA PRADESH,NA,Gummaghatta S.O,Guntakal H.O
Guntakal H.O,515801,H.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,08552-226444,NA,NA
Guntakal Market S.O,515801,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,08552-227441,NA,Guntakal H.O
H Sodanapalli B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Narpala,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Hampapuram B.O,515722,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Rapthadu,Ananthapur,ANDHRA PRADESH,NA,Jayalakshmipuram S.O (Ananthapur),Anantapur H.O
Hanakanahal B.O,515741,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kanekal,Ananthapur,ANDHRA PRADESH,NA,Belguppa S.O,Anantapur H.O
Hanchanahal B.O,515842,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vidapanakal,Ananthapur,ANDHRA PRADESH,NA,Konakondla S.O,Guntakal H.O
Handepalli B.O,515765,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kambadur,Ananthapur,ANDHRA PRADESH,NA,Kambadur S.O,Anantapur H.O
Hanumesh Nagar S.O,515801,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,08552-227424,NA,Guntakal H.O
Havaligi B.O,515870,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vipanakal,Ananthapur,ANDHRA PRADESH,NA,Vidapanakal S.O,Guntakal H.O
Herial S.O,515872,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Herial,Ananthapur,ANDHRA PRADESH,08495-258422,NA,Guntakal H.O
Honnur B.O,515812,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bommanahal,Ananthapur,ANDHRA PRADESH,NA,Uravakonda S.O,Guntakal H.O
Igaduru B.O,515415,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Tadipatri,Ananthapur,ANDHRA PRADESH,NA,Chukkalur S.O,Anantapur H.O
Illuru B.O,515611,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinne,Ananthapur,ANDHRA PRADESH,NA,Tarimala S.O,Guntakal H.O
Ipperu B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Isurallapalli B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Jakkalacheruvu B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Jallipalli B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kudair,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Jambugumpala B.O,515766,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kundurpi,Ananthapur,ANDHRA PRADESH,NA,Kundurpi S.O,Anantapur H.O
Jambuladinne B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinna,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Janardhanapalli B.O,515812,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vidapanakal,Ananthapur,ANDHRA PRADESH,NA,Uravakonda S.O,Guntakal H.O
Jangampalli B.O,515465,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yellanur,Ananthapur,ANDHRA PRADESH,NA,Yellanur S.O,Anantapur H.O
Janthaluru B.O,515701,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bukkarayasamudram,Ananthapur,ANDHRA PRADESH,NA,Bukkarayasamudram S.O,Anantapur H.O
Jayalakshmipuram S.O (Ananthapur),515722,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,NA,Ananthapur,ANDHRA PRADESH,08554-200251,NA,Anantapur H.O
Julakalva B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bukkaraya Samudram,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Junjurampalli B.O,515867,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Rayadurg,Ananthapur,ANDHRA PRADESH,NA,Udegolam S.O,Guntakal H.O
Juturu B.O,515411,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Peddapappuru,Ananthapur,ANDHRA PRADESH,NA,Tadpatri S.O,Anantapur H.O
K Garudapuram B.O,515761,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalyandurg,Ananthapur,ANDHRA PRADESH,NA,Kalyandurg S.O,Anantapur H.O
K.K.Agraharam B.O,515701,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bukkarayasamudram,Ananthapur,ANDHRA PRADESH,NA,Bukkarayasamudram S.O,Anantapur H.O
Kadadarabenchi B.O,515842,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vidapanakal,Ananthapur,ANDHRA PRADESH,NA,Konakondla S.O,Guntakal H.O
Kadadarakunta B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kudair,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Kadalur B.O,515865,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Herial,Ananthapur,ANDHRA PRADESH,NA,Rayadurg S.O,Guntakal H.O
Kadarampalli B.O,515766,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kundurpi,Ananthapur,ANDHRA PRADESH,NA,Kundurpi S.O,Anantapur H.O
Kadavakallu B.O,515445,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Ammalladinne,Ananthapur,ANDHRA PRADESH,NA,Ammaladinne S.O,Anantapur H.O
Kadiridevarapalli B.O,515765,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kambadur,Ananthapur,ANDHRA PRADESH,NA,Kambadur S.O,Anantapur H.O
Kakkalapalli Colony B.O,515004,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,NA,Georgepet S.O,Anantapur H.O
Kakkalpalli B.O,515002,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,NA,Anantapur Engg College S.O,Anantapur H.O
Kalagalla B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Kalapuram B.O,515775,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Pamidi,Ananthapur,ANDHRA PRADESH,NA,Pamidi S.O,Guntakal H.O
Kalekurthy B.O,515871,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kanekal,Ananthapur,ANDHRA PRADESH,NA,Kanekal S.O,Guntakal H.O
Kallumadi B.O,515611,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Singanamala,Ananthapur,ANDHRA PRADESH,NA,Tarimala S.O,Guntakal H.O
Kallur R.S. S.O,515774,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinna,Ananthapur,ANDHRA PRADESH,08551-288047,NA,Guntakal H.O
Kalluru B.O,515465,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yellanur,Ananthapur,ANDHRA PRADESH,NA,Yellanur S.O,Anantapur H.O
Kalugodu B.O,515863,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gummagatta,Ananthapur,ANDHRA PRADESH,NA,Gummaghatta S.O,Guntakal H.O
Kalvapalli B.O,515761,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Beluguppa,Ananthapur,ANDHRA PRADESH,NA,Kalyandurg S.O,Anantapur H.O
Kalyam B.O,515865,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,D.Hirehal,Ananthapur,ANDHRA PRADESH,NA,Rayadurg S.O,Guntakal H.O
Kalyandurg Bazar S.O,515761,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalyandurg,Ananthapur,ANDHRA PRADESH,08497-222222,NA,Anantapur H.O
Kalyandurg S.O,515761,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalyandurg,Ananthapur,ANDHRA PRADESH,08497-220940,NA,Anantapur H.O
Kamalanagar S.O (Ananthapur),515001,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,08554-248950,NA,Anantapur H.O
Kamalapadu B.O,515408,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yadiki,Ananthapur,ANDHRA PRADESH,NA,Yadiki S.O,Guntakal H.O
Kamalapadu B.O,515832,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vajrakarur,Ananthapur,ANDHRA PRADESH,NA,Vajrakarur S.O,Guntakal H.O
Kamarupalli B.O,515751,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Atmakur,Ananthapur,ANDHRA PRADESH,NA,Atmakur(ATP) S.O,Anantapur H.O
Kambadur S.O,515765,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kambadur,Ananthapur,ANDHRA PRADESH,08492-280322,NA,Anantapur H.O
Kammuru B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Kanakuru B.O,515767,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Settur,Ananthapur,ANDHRA PRADESH,NA,Shettur S.O,Anantapur H.O
Kanampalli B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinna,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Kandukur S.O,515721,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kandukur,Ananthapur,ANDHRA PRADESH,08554-255030,NA,Anantapur H.O
Kanekal S.O,515871,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kanekal,Ananthapur,ANDHRA PRADESH,08435-257222,NA,Guntakal H.O
Kannepalli B.O,515763,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Brahma Samudram,Ananthapur,ANDHRA PRADESH,NA,Bommaganipalli S.O,Anantapur H.O
Karakamukkala B.O,515870,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vidapanakal,Ananthapur,ANDHRA PRADESH,NA,Vidapanakal S.O,Guntakal H.O
Karidikonda B.O,515402,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty R.S. S.O,Guntakal H.O
Karthanaparthi B.O,515787,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kambadur,Ananthapur,ANDHRA PRADESH,NA,Nuthimadugu S.O,Anantapur H.O
Karutlapalli B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kudair,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Kasapuram B.O,515803,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,NA,Old Guntakal S.O,Guntakal H.O
Katakindapalli B.O,515832,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vajrakarur,Ananthapur,ANDHRA PRADESH,NA,Vajrakarur S.O,Guntakal H.O
Katrimala B.O,515775,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Pamidi,Ananthapur,ANDHRA PRADESH,NA,Pamidi S.O,Guntakal H.O
Kaverisamudram B.O,515415,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Tadipatri,Ananthapur,ANDHRA PRADESH,NA,Chukkalur S.O,Anantapur H.O
Kenchanapalli B.O,515867,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Rayadurg,Ananthapur,ANDHRA PRADESH,NA,Udegolam S.O,Guntakal H.O
Kesavapuram B.O,515774,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinne,Ananthapur,ANDHRA PRADESH,NA,Kallur R.S. S.O,Guntakal H.O
Kesepalli B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Narpala,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Khaderpeta B.O,515775,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Pamidi,Ananthapur,ANDHRA PRADESH,NA,Pamidi S.O,Guntakal H.O
Khairevu B.O,515767,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Shetturu,Ananthapur,ANDHRA PRADESH,NA,Shettur S.O,Anantapur H.O
Kodihalli West B.O,515863,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Brahmasamudram,Ananthapur,ANDHRA PRADESH,NA,Gummaghatta S.O,Guntakal H.O
Kodipalli East B.O,515787,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalyandurg,Ananthapur,ANDHRA PRADESH,NA,Nuthimadugu S.O,Anantapur H.O
Kojjepalli B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Kolaganahalli B.O,515871,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bommanahal,Ananthapur,ANDHRA PRADESH,NA,Kanekal S.O,Guntakal H.O
Komatikuntla B.O,515414,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Putlur,Ananthapur,ANDHRA PRADESH,NA,Putlur S.O,Anantapur H.O
Konakondla S.O,515842,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vajrakarur,Ananthapur,ANDHRA PRADESH,08496-248522,NA,Guntakal H.O
Konapuram B.O,515761,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Beluguppa,Ananthapur,ANDHRA PRADESH,NA,Kalyandurg S.O,Anantapur H.O
Konauppalapadu B.O,515408,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yadiki,Ananthapur,ANDHRA PRADESH,NA,Yadiki S.O,Guntakal H.O
Konganapalli B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Koppalakonda B.O,515774,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinne,Ananthapur,ANDHRA PRADESH,NA,Kallur R.S. S.O,Guntakal H.O
Korrakodu B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Korrapadu B.O,515701,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bukkarayasamudram,Ananthapur,ANDHRA PRADESH,NA,Bukkarayasamudram S.O,Anantapur H.O
Kotanka B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinna,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Kothakota B.O,515870,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vidapanakal,Ananthapur,ANDHRA PRADESH,NA,Vidapanakal S.O,Guntakal H.O
Kothapalli B.O,515751,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Atmakur,Ananthapur,ANDHRA PRADESH,NA,Atmakur(ATP) S.O,Anantapur H.O
Kothapalli B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bukkaraya Samudram,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Kothapeta(Gooty) B.O,515401,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Gooty S.O,Guntakal H.O
Kothapeta(Uravakonda) S.O,515812,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Uravakonda,Ananthapur,ANDHRA PRADESH,NA,NA,Guntakal H.O
Kottala B.O,515803,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,NA,Old Guntakal S.O,Guntakal H.O
Kottalapalli B.O,515870,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Vidapanakal,Ananthapur,ANDHRA PRADESH,NA,Vidapanakal S.O,Guntakal H.O
Krishtipadu B.O,515455,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Peddavadugur,Ananthapur,ANDHRA PRADESH,NA,Rayalacheruvu S.O,Guntakal H.O
Kuchivaripalli B.O,515465,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yellanur,Ananthapur,ANDHRA PRADESH,NA,Yellanur S.O,Anantapur H.O
Kuderu S.O (Ananthapur),515711,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,08554-258522,NA,Anantapur H.O
Kudlur B.O,515871,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bommanahal,Ananthapur,ANDHRA PRADESH,NA,Kanekal S.O,Guntakal H.O
Kummanamala B.O,515414,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Putlur,Ananthapur,ANDHRA PRADESH,NA,Putlur S.O,Anantapur H.O
Kundurpi S.O,515766,S.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kundurpi,Ananthapur,ANDHRA PRADESH,08492-283284,NA,Anantapur H.O
Kurabanahalli B.O,515761,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalyandurg,Ananthapur,ANDHRA PRADESH,NA,Kalyandurg S.O,Anantapur H.O
Kuraganipalli B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Narpala,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Kurugunta B.O,515751,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Atmakur,Ananthapur,ANDHRA PRADESH,NA,Atmakur(ATP) S.O,Anantapur H.O
Kuruvalli B.O,515871,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Bommanahal,Ananthapur,ANDHRA PRADESH,NA,Kanekal S.O,Guntakal H.O
Lachumpalli B.O,515405,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Peddavadugur,Ananthapur,ANDHRA PRADESH,NA,Pedda Vadagur S.O,Guntakal H.O
Lakshmampalli B.O,515766,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Shetturu,Ananthapur,ANDHRA PRADESH,NA,Kundurpi S.O,Anantapur H.O
Lakshmampalli B.O,515465,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yellanur,Ananthapur,ANDHRA PRADESH,NA,Yellanur S.O,Anantapur H.O
Lakshmi Bazar B.O,515865,B.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Rayadurg,Ananthapur,ANDHRA PRADESH,NA,Rayadurg  Bazar S.O,Guntakal H.O
Lakshumpalli B.O,515455,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yadiki,Ananthapur,ANDHRA PRADESH,NA,Rayalacheruvu S.O,Guntakal H.O
Lathavaram B.O,515812,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Uravakonda,Ananthapur,ANDHRA PRADESH,NA,Uravakonda S.O,Guntakal H.O
Lingareddipalli B.O,515465,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yellanur,Ananthapur,ANDHRA PRADESH,NA,Yellanur S.O,Anantapur H.O
M.P.R.Site B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinne,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Maddipalli B.O,515414,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Putlur,Ananthapur,ANDHRA PRADESH,NA,Putlur S.O,Anantapur H.O
Madigubba B.O,515751,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Atmakur,Ananthapur,ANDHRA PRADESH,NA,Atmakur(ATP) S.O,Anantapur H.O
Madugupalli B.O,515425,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Narpala,Ananthapur,ANDHRA PRADESH,NA,Narapla S.O,Anantapur H.O
Malayanuru B.O,515766,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kundurpi,Ananthapur,ANDHRA PRADESH,NA,Kundurpi S.O,Anantapur H.O
Mallapuram B.O,515812,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Uravakonda,Ananthapur,ANDHRA PRADESH,NA,Uravakonda S.O,Guntakal H.O
Mallenipalli B.O,515405,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Pedda Vadagur,Ananthapur,ANDHRA PRADESH,NA,Pedda Vadagur S.O,Guntakal H.O
Malyam B.O,515871,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kanekal,Ananthapur,ANDHRA PRADESH,NA,Kanekal S.O,Guntakal H.O
Mamadur B.O,515405,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Gooty,Ananthapur,ANDHRA PRADESH,NA,Pedda Vadagur S.O,Guntakal H.O
Mamaduru B.O,515767,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Brahmasamudram,Ananthapur,ANDHRA PRADESH,NA,Shettur S.O,Anantapur H.O
Manirevu B.O,515751,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kalayandurg,Ananthapur,ANDHRA PRADESH,NA,Atmakur(ATP) S.O,Anantapur H.O
Mannila B.O,515721,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,NA,Kandukur S.O,Anantapur H.O
Marrimakulapalli B.O,515765,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kambadur,Ananthapur,ANDHRA PRADESH,NA,Kambadur S.O,Anantapur H.O
Marthadu B.O,515731,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Garladinna,Ananthapur,ANDHRA PRADESH,NA,Garladinne S.O,Anantapur H.O
Marutla B.O,515711,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Kuderu,Ananthapur,ANDHRA PRADESH,NA,Kuderu S.O (Ananthapur),Anantapur H.O
Medikurthi B.O,515465,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Yellanur,Ananthapur,ANDHRA PRADESH,NA,Yellanur S.O,Anantapur H.O
Miduthur B.O,515405,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Pedda Vadagur,Ananthapur,ANDHRA PRADESH,NA,Pedda Vadagur S.O,Guntakal H.O
Modinabad S.O,515801,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Guntakal,Ananthapur,ANDHRA PRADESH,08552-227421,NA,Guntakal H.O
Mopidi B.O,515812,B.O,Delivery,Anantapur,Kurnool,Andhra Pradesh,Uravakonda,Ananthapur,ANDHRA PRADESH,NA,Uravakonda S.O,Guntakal H.O
Motilal Street S.O,515004,S.O,Non-Delivery,Anantapur,Kurnool,Andhra Pradesh,Anantapur,Ananthapur,ANDHRA PRADESH,08554-249350,NA,Anantapur H.O
